Timestamp,Open,High,Low,Close,Volume
2019-11-11,188.9,189.96,183.82,184.68,17253.94159183
2019-11-12,184.68,187.37,182.0,186.93,29097.24711873
2019-11-13,186.94,189.81,185.12,187.75,21661.49666446
2019-11-14,187.81,188.39,182.42,184.5,15383.64371775
2019-11-15,184.6,186.6,176.95,179.86,39219.80179235
2019-11-16,179.87,183.16,179.17,182.16,10332.39848006
2019-11-17,182.17,186.25,179.85,183.77,13876.85745229
2019-11-18,183.76,183.84,174.38,177.9,26413.3247064
2019-11-19,177.91,178.07,172.52,175.64,27369.67701648
2019-11-20,175.7,177.32,173.27,174.26,14652.0682184
2019-11-21,174.25,175.5,156.0,161.01,59277.24796218
2019-11-22,161.03,162.82,138.0,149.79,102149.99234312
2019-11-23,149.78,154.25,146.5,151.97,31431.35380788
2019-11-24,152.01,153.16,138.34,140.12,40047.96439192
2019-11-25,140.0,151.77,132.0,146.35,105290.16887198
2019-11-26,145.94,149.82,143.49,147.75,29593.95773773
2019-11-27,147.69,155.96,141.1,152.85,47037.1278141
2019-11-28,153.19,154.82,149.44,151.23,31165.05520831
2019-11-29,151.07,157.98,150.69,154.78,30056.14627629
2019-11-30,154.8,155.34,150.01,151.74,14873.78835592
2019-12-01,151.61,152.49,146.0,150.76,24838.45676913
2019-12-02,151.0,151.49,146.96,148.85,15592.44849685
2019-12-03,148.86,149.95,145.08,147.37,18640.63331872
2019-12-04,147.23,153.12,143.25,145.3,42277.66913279
2019-12-05,145.29,148.85,143.91,147.99,19184.23735765
2019-12-06,148.1,149.8,145.94,148.9,15708.92302449
2019-12-07,148.97,149.8,147.12,147.37,13665.20153455
2019-12-08,147.28,151.9,146.45,150.72,19525.02992955
2019-12-09,150.64,151.35,146.42,147.45,22257.12545018
2019-12-10,147.24,148.19,143.41,145.58,23633.62145146
2019-12-11,145.56,146.22,142.0,143.19,16288.77260208
2019-12-12,143.22,145.73,139.0,144.79,27320.09475329
2019-12-13,144.89,145.1,142.48,144.49,18838.87344789
2019-12-14,144.5,145.05,141.06,141.77,14956.87092697
2019-12-15,141.75,143.85,139.65,142.28,18787.77660637
2019-12-16,142.49,142.49,130.0,132.47,65474.65517634
2019-12-17,132.48,132.74,119.62,121.75,78294.31348274
2019-12-18,121.75,134.86,115.44,132.88,95833.63256131
2019-12-19,132.88,133.99,125.77,128.12,50912.03491596
2019-12-20,128.24,129.37,125.97,128.26,25148.43669005
2019-12-21,128.38,128.44,126.68,127.02,12441.33838344
2019-12-22,127.02,133.2,127.0,132.41,36072.48915499
2019-12-23,132.55,135.1,126.1,128.0,34183.82736198
2019-12-24,127.88,129.46,126.64,127.74,16689.90589857
2019-12-25,127.72,127.79,122.96,124.87,28284.10340789
2019-12-26,124.96,131.96,124.19,125.51,28189.6683886
2019-12-27,125.48,126.7,122.22,126.25,25132.29796013
2019-12-28,126.22,129.79,125.91,127.83,16336.62316592
2019-12-29,127.82,137.81,127.37,134.31,34606.12302591
2019-12-30,134.25,136.02,129.86,131.1,30602.47547173
2019-12-31,130.85,133.28,127.79,128.59,24567.96700613
2020-01-01,128.66,132.86,128.19,130.33,13374.4547044
2020-01-02,130.26,130.26,126.0,126.72,25761.75293485
2020-01-03,126.7,134.72,125.4,134.0,50257.31962755
2020-01-04,134.19,135.91,132.58,134.14,16218.0729796
2020-01-05,134.12,138.3,133.83,135.27,28960.23970127
2020-01-06,135.09,144.57,134.86,144.34,67256.59468463
2020-01-07,144.3,145.32,138.98,143.2,50304.24822416
2020-01-08,143.02,147.95,137.03,140.7,93275.55402786
2020-01-09,140.7,141.57,135.33,137.91,33496.80997001
2020-01-10,137.75,145.32,135.14,144.92,47163.99868057
2020-01-11,144.87,147.92,141.28,142.62,43161.30240365
2020-01-12,142.23,146.5,141.53,146.5,21408.86145823
2020-01-13,146.45,146.99,142.0,143.58,27611.2967656
2020-01-14,143.57,170.0,143.45,166.19,138641.1411234
2020-01-15,165.81,171.61,159.05,166.31,72351.03851665
2020-01-16,166.6,167.27,158.42,164.17,55814.80472928
2020-01-17,164.04,174.0,161.98,169.59,106510.41774259
2020-01-18,169.6,179.0,164.87,174.03,83959.9659729
2020-01-19,173.96,178.06,161.77,166.84,76137.29295796
2020-01-20,166.81,169.2,160.9,166.61,65225.53785335
2020-01-21,166.64,170.01,164.61,169.3,36287.81872113
2020-01-22,169.32,170.92,165.61,167.66,40014.34177396
2020-01-23,167.67,167.67,159.0,162.5,48632.6535546
2020-01-24,162.43,164.3,155.25,162.32,75924.15475931
2020-01-25,162.3,162.48,157.43,160.12,39880.62919832
2020-01-26,160.01,167.65,159.06,167.4,62458.01479199
2020-01-27,167.61,171.77,164.94,169.88,42983.69429777
2020-01-28,169.98,176.89,169.96,176.41,63422.92287084
2020-01-29,176.41,179.0,172.95,173.48,53185.49908975
2020-01-30,173.38,186.6,170.5,184.34,119343.93523638
2020-01-31,184.4,185.47,175.0,179.68,48474.96080572
2020-02-01,179.68,184.0,178.92,183.41,28477.95884968
2020-02-02,183.4,193.3,178.9,188.25,58669.37701892
